,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-02-0047-01_NON_BRCA,order
26,MMP23B,ENSG00000189409.12,hsa:8510,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.8863,1.3695625309275823
27,MMP23B,ENSG00000189409.12,hsa:8510,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-0.8863,1.3695625309275823
28,MMP23B,ENSG00000189409.12,hsa:8510,1002,Genes and Proteins,Protein families: metabolism,Peptidases,-0.8863,1.3695625309275823
29,SLC35E2B,ENSG00000189339.11,hsa:728661,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.3695,3.991737922744744
30,SLC35E2B,ENSG00000189339.11,hsa:728661,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,5.3695,3.991737922744744
31,CALML6,ENSG00000169885.9,hsa:163688,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.3076,-3.087324913440712
32,CALML6,ENSG00000169885.9,hsa:163688,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,-3.3076,-3.087324913440712
33,CALML6,ENSG00000169885.9,hsa:163688,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,-3.3076,-3.087324913440712
34,CALML6,ENSG00000169885.9,hsa:163688,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,-3.3076,-3.087324913440712
35,CALML6,ENSG00000169885.9,hsa:163688,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-3.3076,-3.087324913440712
36,GABRD,ENSG00000187730.7,hsa:2563,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.506,-0.17839062067675204
37,GABRD,ENSG00000187730.7,hsa:2563,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,3.506,-0.17839062067675204
38,PLCH2,ENSG00000149527.17,hsa:9651,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.7058,0.8437895787836036
39,PLCH2,ENSG00000149527.17,hsa:9651,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,0.7058,0.8437895787836036
40,PLCH2,ENSG00000149527.17,hsa:9651,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.7058,0.8437895787836036
41,HES5,ENSG00000197921.5,hsa:388585,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.2189,-3.2336409017171706
42,HES5,ENSG00000197921.5,hsa:388585,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,3.2189,-3.2336409017171706
43,TNFRSF14,ENSG00000157873.17,hsa:8764,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.2578,5.278115506856262
44,TNFRSF14,ENSG00000157873.17,hsa:8764,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,4.2578,5.278115506856262
45,TNFRSF14,ENSG00000157873.17,hsa:8764,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,4.2578,5.278115506856262
46,MMEL1,ENSG00000142606.15,hsa:79258,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.4704,0.5105682599766301
47,MMEL1,ENSG00000142606.15,hsa:79258,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.4704,0.5105682599766301
48,MMEL1,ENSG00000142606.15,hsa:79258,1002,Genes and Proteins,Protein families: metabolism,Peptidases,1.4704,0.5105682599766301
49,PRDM16,ENSG00000142611.16,hsa:63976,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.6239,-1.3158481729604705
50,PRDM16,ENSG00000142611.16,hsa:63976,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,0.6239,-1.3158481729604705
51,ARHGEF16,ENSG00000130762.14,hsa:27237,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.5756,2.462872773884379
52,ARHGEF16,ENSG00000130762.14,hsa:27237,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,-0.5756,2.462872773884379
53,TP73,ENSG00000078900.14,hsa:7161,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.3752,-0.30782905278063777
54,TP73,ENSG00000078900.14,hsa:7161,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-0.3752,-0.30782905278063777
55,AJAP1,ENSG00000196581.10,hsa:55966,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.1388,-2.373446191039864
56,AJAP1,ENSG00000196581.10,hsa:55966,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,0.1388,-2.373446191039864
57,KCNAB2,ENSG00000069424.14,hsa:8514,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.4529,3.084106971672984
58,KCNAB2,ENSG00000069424.14,hsa:8514,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,4.4529,3.084106971672984
59,CHD5,ENSG00000116254.17,hsa:26038,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.8036,-3.658711926302519
60,CHD5,ENSG00000116254.17,hsa:26038,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.8036,-3.658711926302519
61,CHD5,ENSG00000116254.17,hsa:26038,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,1.8036,-3.658711926302519
62,GPR153,ENSG00000158292.6,hsa:387509,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4908,2.0972506490142306
63,GPR153,ENSG00000158292.6,hsa:387509,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,2.4908,2.0972506490142306
64,ACOT7,ENSG00000097021.19,hsa:11332,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.2567,5.1222493733621315
65,ACOT7,ENSG00000097021.19,hsa:11332,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,5.2567,5.1222493733621315
66,ACOT7,ENSG00000097021.19,hsa:11332,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.2567,5.1222493733621315
67,ACOT7,ENSG00000097021.19,hsa:11332,1004,Genes and Proteins,Protein families: metabolism,Lipid biosynthesis proteins,5.2567,5.1222493733621315
68,HES2,ENSG00000069812.11,hsa:54626,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.3884,-0.6230479714882246
69,HES2,ENSG00000069812.11,hsa:54626,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-2.3884,-0.6230479714882246
70,TNFRSF25,ENSG00000215788.9,hsa:8718,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.7487,2.550849548776321
71,TNFRSF25,ENSG00000215788.9,hsa:8718,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,2.7487,2.550849548776321
72,PLEKHG5,ENSG00000171680.20,hsa:57449,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.8661,2.2574966305605577
73,TAS1R1,ENSG00000173662.19,hsa:80835,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.6873,-4.00343412537096
74,TAS1R1,ENSG00000173662.19,hsa:80835,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-0.6873,-4.00343412537096
75,KLHL21,ENSG00000162413.16,hsa:9903,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.863,3.77172530392342
76,KLHL21,ENSG00000162413.16,hsa:9903,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,3.863,3.77172530392342
77,PER3,ENSG00000049246.14,hsa:8863,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.7508,2.360418466509629
78,PER3,ENSG00000049246.14,hsa:8863,3400,Genes and Proteins,Protein families: genetic information processing,DNA repair and recombination proteins,2.7508,2.360418466509629
79,UTS2,ENSG00000049247.13,hsa:10911,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-3.7092811769334633
80,TNFRSF9,ENSG00000049249.8,hsa:3604,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.035,-1.5449001993137317
81,TNFRSF9,ENSG00000049249.8,hsa:3604,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,-4.035,-1.5449001993137317
82,TNFRSF9,ENSG00000049249.8,hsa:3604,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,-4.035,-1.5449001993137317
83,SLC45A1,ENSG00000162426.14,hsa:50651,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.1011,-0.15961036272963644
84,SLC45A1,ENSG00000162426.14,hsa:50651,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,3.1011,-0.15961036272963644
85,ENO1,ENSG00000074800.13,hsa:2023,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),10.4656,9.730147612174848
86,ENO1,ENSG00000074800.13,hsa:2023,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,10.4656,9.730147612174848
87,ENO1,ENSG00000074800.13,hsa:2023,1000,Genes and Proteins,Protein families: metabolism,Enzymes,10.4656,9.730147612174848
88,ENO1,ENSG00000074800.13,hsa:2023,3019,Genes and Proteins,Protein families: genetic information processing,Messenger RNA biogenesis,10.4656,9.730147612174848
89,SLC2A5,ENSG00000142583.17,hsa:6518,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.517,1.0897462188508202
90,SLC2A5,ENSG00000142583.17,hsa:6518,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,5.517,1.0897462188508202
91,GPR157,ENSG00000180758.11,hsa:80045,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.2142,1.4899179917061969
92,GPR157,ENSG00000180758.11,hsa:80045,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-1.2142,1.4899179917061969
93,SPSB1,ENSG00000171621.13,hsa:80176,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.6832,3.74179472682378
94,SPSB1,ENSG00000171621.13,hsa:80176,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,4.6832,3.74179472682378
95,SLC25A33,ENSG00000171612.6,hsa:84275,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.3119,1.9106332288839978
96,SLC25A33,ENSG00000171612.6,hsa:84275,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,3.3119,1.9106332288839978
97,PIK3CD,ENSG00000171608.15,hsa:5293,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.0604,2.1100431727376554
98,PIK3CD,ENSG00000171608.15,hsa:5293,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.0604,2.1100431727376554
99,PIK3CD,ENSG00000171608.15,hsa:5293,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.0604,2.1100431727376554
100,CTNNBIP1,ENSG00000178585.14,hsa:56998,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.3473,4.597119573867347
101,CORT,ENSG00000241563.3,hsa:1325,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.3548,-2.166341154713027
102,MASP2,ENSG00000009724.16,hsa:10747,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.8164,-1.414754539164608
103,MASP2,ENSG00000009724.16,hsa:10747,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.8164,-1.414754539164608
104,MASP2,ENSG00000009724.16,hsa:10747,1002,Genes and Proteins,Protein families: metabolism,Peptidases,0.8164,-1.414754539164608
105,FBXO2,ENSG00000116661.9,hsa:26232,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.2741,2.8364442212075893
106,FBXO2,ENSG00000116661.9,hsa:26232,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,6.2741,2.8364442212075893
107,FBXO2,ENSG00000116661.9,hsa:26232,4091,Genes and Proteins,Protein families: signaling and cellular processes,Lectins,6.2741,2.8364442212075893
108,FBXO44,ENSG00000132879.13,hsa:93611,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.2747,3.9794965629852896
109,FBXO44,ENSG00000132879.13,hsa:93611,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,5.2747,3.9794965629852896
110,FBXO44,ENSG00000132879.13,hsa:93611,4091,Genes and Proteins,Protein families: signaling and cellular processes,Lectins,5.2747,3.9794965629852896
111,MTHFR,ENSG00000177000.10,hsa:4524,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.9032,2.7167956535488287
112,MTHFR,ENSG00000177000.10,hsa:4524,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.9032,2.7167956535488287
113,CLCN6,ENSG00000011021.21,hsa:1185,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.248,2.2554870985276874
114,CLCN6,ENSG00000011021.21,hsa:1185,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,4.248,2.2554870985276874
115,NPPA,ENSG00000175206.10,hsa:4878,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.2783,-3.7223777259350386
116,TNFRSF8,ENSG00000120949.14,hsa:943,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.3907,-1.3245404555070248
117,TNFRSF8,ENSG00000120949.14,hsa:943,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,0.3907,-1.3245404555070248
118,TNFRSF8,ENSG00000120949.14,hsa:943,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,0.3907,-1.3245404555070248
119,TNFRSF1B,ENSG00000028137.16,hsa:7133,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.3782,3.643528705470773
120,TNFRSF1B,ENSG00000028137.16,hsa:7133,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,5.3782,3.643528705470773
121,TNFRSF1B,ENSG00000028137.16,hsa:7133,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,5.3782,3.643528705470773
122,DHRS3,ENSG00000162496.8,hsa:9249,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.0323,5.809508075764346
123,DHRS3,ENSG00000162496.8,hsa:9249,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.0323,5.809508075764346
124,PDPN,ENSG00000162493.16,hsa:10630,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.3389,2.3599028162538778
125,PDPN,ENSG00000162493.16,hsa:10630,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,7.3389,2.3599028162538778
126,CTRC,ENSG00000162438.11,hsa:11330,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.7322,-4.383744147888066
127,CTRC,ENSG00000162438.11,hsa:11330,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-1.7322,-4.383744147888066
128,CTRC,ENSG00000162438.11,hsa:11330,1002,Genes and Proteins,Protein families: metabolism,Peptidases,-1.7322,-4.383744147888066
129,AGMAT,ENSG00000116771.5,hsa:79814,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.1172,0.6550627302279476
130,AGMAT,ENSG00000116771.5,hsa:79814,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-1.1172,0.6550627302279476
131,SLC25A34,ENSG00000162461.7,hsa:284723,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.0222,-0.643083841915379
132,SLC25A34,ENSG00000162461.7,hsa:284723,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,1.0222,-0.643083841915379
133,HSPB7,ENSG00000173641.17,hsa:27129,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.3148,0.5756654281304525
134,HSPB7,ENSG00000173641.17,hsa:27129,3110,Genes and Proteins,Protein families: genetic information processing,Chaperones and folding catalysts,3.3148,0.5756654281304525
135,CLCNKA,ENSG00000186510.11,hsa:1187,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.3147,-2.843419295984336
136,CLCNKA,ENSG00000186510.11,hsa:1187,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,-2.3147,-2.843419295984336
137,CLCNKB,ENSG00000184908.17,hsa:1188,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.5756,-2.446290875788927
138,CLCNKB,ENSG00000184908.17,hsa:1188,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,-0.5756,-2.446290875788927
139,EPHA2,ENSG00000142627.12,hsa:1969,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4359,3.537892374198941
140,EPHA2,ENSG00000142627.12,hsa:1969,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.4359,3.537892374198941
141,EPHA2,ENSG00000142627.12,hsa:1969,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,2.4359,3.537892374198941
142,ARHGEF19,ENSG00000142632.16,hsa:128272,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.0915,2.7562971517273422
143,ARHGEF19,ENSG00000142632.16,hsa:128272,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,1.0915,2.7562971517273422
144,CROCC,ENSG00000058453.16,hsa:9696,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.2856,3.236743478591643
145,CROCC,ENSG00000058453.16,hsa:9696,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,3.2856,3.236743478591643
146,PADI2,ENSG00000117115.12,hsa:11240,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.4415,1.0730503146665322
147,PADI2,ENSG00000117115.12,hsa:11240,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.4415,1.0730503146665322
148,PADI1,ENSG00000142623.9,hsa:29943,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.6349,-3.7096222138761887
149,PADI1,ENSG00000142623.9,hsa:29943,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-2.6349,-3.7096222138761887
150,PADI3,ENSG00000142619.4,hsa:51702,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.0116,-4.605053562037585
151,PADI3,ENSG00000142619.4,hsa:51702,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-5.0116,-4.605053562037585
152,PADI4,ENSG00000159339.13,hsa:23569,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.9132,-4.219963958795681
153,PADI4,ENSG00000159339.13,hsa:23569,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-0.9132,-4.219963958795681
154,ARHGEF10L,ENSG00000074964.16,hsa:55160,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.3775,3.85573231475257
155,ARHGEF10L,ENSG00000074964.16,hsa:55160,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,5.3775,3.85573231475257
156,ARHGEF10L,ENSG00000074964.16,hsa:55160,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,5.3775,3.85573231475257
157,ALDH4A1,ENSG00000159423.16,hsa:8659,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.5148,3.874833112337078
158,ALDH4A1,ENSG00000159423.16,hsa:8659,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.5148,3.874833112337078
159,AKR7A3,ENSG00000162482.4,hsa:22977,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.2875,0.8415216295470693
160,NBL1,ENSG00000158747.13,hsa:4681,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.2334,6.042928774452414
161,HTR6,ENSG00000158748.3,hsa:3362,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.8863,-6.23991134717603
162,HTR6,ENSG00000158748.3,hsa:3362,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-0.8863,-6.23991134717603
163,OTUD3,ENSG00000169914.5,hsa:23252,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.8643,1.126312632421415
164,OTUD3,ENSG00000169914.5,hsa:23252,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,1.8643,1.126312632421415
165,OTUD3,ENSG00000169914.5,hsa:23252,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.8643,1.126312632421415
166,OTUD3,ENSG00000169914.5,hsa:23252,1002,Genes and Proteins,Protein families: metabolism,Peptidases,1.8643,1.126312632421415
167,PLA2G2A,ENSG00000188257.10,hsa:5320,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.6699,0.7826788689022727
168,PLA2G2A,ENSG00000188257.10,hsa:5320,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.6699,0.7826788689022727
169,PLA2G2A,ENSG00000188257.10,hsa:5320,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,0.6699,0.7826788689022727
170,PLA2G5,ENSG00000127472.10,hsa:5322,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.7117,-0.6126237041580272
171,PLA2G5,ENSG00000127472.10,hsa:5322,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.7117,-0.6126237041580272
172,PLA2G5,ENSG00000127472.10,hsa:5322,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,2.7117,-0.6126237041580272
173,PLA2G2D,ENSG00000117215.14,hsa:26279,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.2934,-1.6177376074348935
174,PLA2G2D,ENSG00000117215.14,hsa:26279,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-4.2934,-1.6177376074348935
175,PLA2G2D,ENSG00000117215.14,hsa:26279,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-4.2934,-1.6177376074348935
176,PLA2G2F,ENSG00000158786.4,hsa:64600,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.5735,-5.931461501423205
177,PLA2G2F,ENSG00000158786.4,hsa:64600,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-5.5735,-5.931461501423205
178,PLA2G2F,ENSG00000158786.4,hsa:64600,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-5.5735,-5.931461501423205
179,PLA2G2C,ENSG00000187980.6,hsa:391013,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.3147,-6.092408980872358
180,PLA2G2C,ENSG00000187980.6,hsa:391013,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-2.3147,-6.092408980872358
181,PLA2G2C,ENSG00000187980.6,hsa:391013,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-2.3147,-6.092408980872358
182,CDA,ENSG00000158825.5,hsa:978,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.0878,2.4438731700179925
183,CDA,ENSG00000158825.5,hsa:978,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.0878,2.4438731700179925
184,PINK1,ENSG00000158828.5,hsa:65018,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.8523,5.441965241702529
185,PINK1,ENSG00000158828.5,hsa:65018,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,6.8523,5.441965241702529
186,PINK1,ENSG00000158828.5,hsa:65018,3029,Genes and Proteins,Protein families: genetic information processing,Mitochondrial biogenesis,6.8523,5.441965241702529
187,PINK1,ENSG00000158828.5,hsa:65018,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.8523,5.441965241702529
188,PINK1,ENSG00000158828.5,hsa:65018,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,6.8523,5.441965241702529
189,KIF17,ENSG00000117245.12,hsa:57576,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.5998,0.14393188994832345
